,wid,vio_type,date_begin,date_end,water_rule,vio_id
53,WA5383830,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Chloride</a>",07350261017<br/>
54,WA5383830,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Cadmium</a>",07350261015<br/>
55,WA5383830,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Barium</a>",07350261010<br/>
56,WA5383830,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">CYANIDE</a>",07350331024<br/>
57,WA5383830,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Fluoride</a>",07350331025<br/>
0,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Pentachlorophenol</a>",14403122326<br/>
1,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Dicamba</a>",14403122440<br/>
2,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Dinoseb</a>",14403122041<br/>
3,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Picloram</a>",14403122040<br/>
4,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Dalapon</a>",14403122031<br/>
5,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Chlordane</a>",14394442959<br/>
6,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Metribuzin</a>",14394442595<br/>
7,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Benzo(a)pyrene</a>",14394442306<br/>
8,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">HEXACHLOROBENZENE</a>",14394442274<br/>
9,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Propachlor</a>",14394442077<br/>
10,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Butachlor</a>",14394442076<br/>
11,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Dieldrin</a>",14394442070<br/>
12,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Heptachlor epoxide</a>",14394442067<br/>
13,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Heptachlor</a>",14394442065<br/>
14,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">LASSO</a>",14394442051<br/>
15,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Atrazine</a>",14394442050<br/>
16,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Metolachlor</a>",14394442045<br/>
17,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Hexachlorocyclopentadiene</a>",14394442042<br/>
18,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Di(2-ethylhexyl) phthalate</a>",14394442039<br/>
19,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Simazine</a>",14394442037<br/>
20,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Di(2-ethylhexyl) adipate</a>",14394442035<br/>
21,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Toxaphene</a>",14394442020<br/>
22,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Methoxychlor</a>",14394442015<br/>
23,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">BHC-GAMMA</a>",14394442010<br/>
24,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Endrin</a>",14394442005<br/>
25,WA5300650,"Monitoring, Regular",JUL-01-2014<br/>,SEP-30-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">2,4,5-TP</a>",14403122110<br/>
26,WA5300650,"Monitoring, Routine Major (TCR)",JUN-01-2012<br/>,JUN-30-2012<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Microorganisms"" name=""LEFT"">Coliform (TCR)</a>",1256837<br/>
27,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Bromobenzene</a>",08182082993<br/>
28,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Styrene</a>",08182082996<br/>
29,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Toluene</a>",08182082991<br/>
30,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Benzene</a>",08182082990<br/>
31,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">CHLOROBENZENE</a>",08182082989<br/>
32,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Tetrachloroethylene</a>",08182082987<br/>
33,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1,2-Trichloroethane</a>",08182082985<br/>
34,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Trichloroethylene</a>",08182082984<br/>
35,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2-Dichloropropane</a>",08182082983<br/>
36,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Carbon tetrachloride</a>",08182082982<br/>
37,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1,1-Trichloroethane</a>",08182082981<br/>
38,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2-Dichloroethane</a>",08182082980<br/>
39,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">trans-1,2-Dichloroethylene</a>",08182082979<br/>
40,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">1,1-Dichloroethane</a>",08182082978<br/>
41,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1-Dichloroethylene</a>",08182082977<br/>
42,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Vinyl chloride</a>",08182082976<br/>
43,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">p-Dichlorobenzene</a>",08182082969<br/>
44,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">o-Dichlorobenzene</a>",08182082968<br/>
45,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">o-Chlorotoluene</a>",08182082965<br/>
46,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">DICHLOROMETHANE</a>",08182082964<br/>
47,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">cis-1,2-Dichloroethylene</a>",08182082380<br/>
48,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2,4-Trichlorobenzene</a>",08182082378<br/>
49,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Bromomethane</a>",08182082214<br/>
50,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Chloromethane</a>",08182082210<br/>
51,WA5300650,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2008<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Ethylbenzene</a>",08182082992<br/>
52,WA5300650,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Diquat</a>",07398732032<br/>
0,WA5326995,"Monitoring, Regular",JAN-01-2015<br/>,DEC-31-2015<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Nitrate</a>",1504851<br/>
1,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Arsenic</a>",13815011005<br/>
2,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Barium</a>",13815011010<br/>
3,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Cadmium</a>",13815011015<br/>
4,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Chloride</a>",13815011017<br/>
5,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Chromium</a>",13815011020<br/>
6,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">CYANIDE</a>",13815011024<br/>
7,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Fluoride</a>",13815011025<br/>
8,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Iron</a>",13815011028<br/>
9,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Manganese</a>",13815011032<br/>
10,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Mercury</a>",13815011035<br/>
11,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Nickel</a>",13815011036<br/>
12,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Selenium</a>",13815011045<br/>
13,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Silver</a>",13815011050<br/>
14,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Sodium</a>",13815011052<br/>
15,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Antimony, Total</a>",13815011074<br/>
16,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Beryllium, Total</a>",13815011075<br/>
17,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Thallium, Total</a>",13815011085<br/>
18,WA5326995,"Monitoring, Regular",JAN-01-2011<br/>,DEC-31-2013<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Zinc</a>",13815011095<br/>
19,WA5326995,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Iron</a>",10354831028<br/>
